course_title,course_url,platform,language,duration,difficulty_level,rating_out_of_5
customer-experience-design-for-customer-success,https://www.futurelearn.com/courses/energy-transition-and-sustainable-economies,FutureLearn,English,4 weeks,Beginner,4.5
customer-insight,https://www.futurelearn.com/courses/engaging-adult-learners-with-active-learning,FutureLearn,English,4 weeks,Beginner,4.5
cyber-futures,https://www.futurelearn.com/courses/engaging-with-controversies-in-food-system,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security,https://www.futurelearn.com/courses/engaging-with-controversies-in-the-food-system,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security,https://www.futurelearn.com/courses/engl3301-1,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security-awareness-and-solutions,https://www.futurelearn.com/courses/england-of-richard-third,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security-in-the-software-development-life-cycle-et,https://www.futurelearn.com/courses/english-academic-study,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security-in-the-software-development-life-cycle-sc,https://www.futurelearn.com/courses/english-electronic-music-delve-into-the-digital-archives,FutureLearn,English,4 weeks,Beginner,4.5
cyber-security-landscape,https://www.futurelearn.com/courses/english-for-healthcare,FutureLearn,English,4 weeks,Beginner,4.5
data-analysis-and-statistics-using-microsoft-excel-,https://www.futurelearn.com/courses/english-for-stem-understanding-engineering-vocabulary,FutureLearn,English,4 weeks,Beginner,4.5
data-analysis-fundamentals-with-excel,https://www.futurelearn.com/courses/english-for-stem-understanding-maths-vocabulary,FutureLearn,English,4 weeks,Beginner,4.5
data-analytics,https://www.futurelearn.com/courses/english-for-stem-understanding-science-vocabulary,FutureLearn,English,4 weeks,Beginner,4.5
data-analytics,https://www.futurelearn.com/courses/english-for-stem-understanding-technology-vocabulary,FutureLearn,English,4 weeks,Beginner,4.5
data-analytics,https://www.futurelearn.com/courses/english-for-study,FutureLearn,English,4 weeks,Beginner,4.5
data-analytics-bootcamp-part-time,https://www.futurelearn.com/courses/english-for-study-intermediate,FutureLearn,English,4 weeks,Intermediate,4.5
data-analytics-for-managers,https://www.futurelearn.com/courses/english-grammar-all-you-need-to-know,FutureLearn,English,4 weeks,Beginner,4.5
data-analytics-using-excel,https://www.futurelearn.com/courses/english-grammar-for-teachers,FutureLearn,English,4 weeks,Beginner,4.5
data-driven-decision-making-nano-mba,https://www.futurelearn.com/courses/english-in-early-childhood,FutureLearn,English,4 weeks,Beginner,4.5
data-engineering,https://www.futurelearn.com/courses/english-pronunciation,FutureLearn,English,4 weeks,Beginner,4.5
data-engineering,https://www.futurelearn.com/courses/enlightening-the-dark-ages-early-medieval-archaeology-in-italy,FutureLearn,English,4 weeks,Beginner,4.5
data-for-health-and-care,https://www.futurelearn.com/courses/enriching-curriculum-through-culture-and-heritage-in-aotearoa-new-zealand,FutureLearn,English,4 weeks,Beginner,4.5
data-literacy-for-journalists,https://www.futurelearn.com/courses/enterprise-everybodys-business,FutureLearn,English,4 weeks,Beginner,4.5
data-management,https://www.futurelearn.com/courses/enterprise-resource-planning-operations-management,FutureLearn,English,4 weeks,Beginner,4.5
data-management,https://www.futurelearn.com/courses/enterprise-risk-management,FutureLearn,English,4 weeks,Beginner,4.5
data-mining,https://www.futurelearn.com/courses/entrepreneurship-for-sustainability-and-wellbeing-in-an-era-of-digitalisation,FutureLearn,English,4 weeks,Beginner,4.5
data-mining,https://www.futurelearn.com/courses/entrepreneurship-idea-to-action,FutureLearn,English,4 weeks,Beginner,4.5
data-mining-with-weka,https://www.futurelearn.com/courses/environmental-challenges-justice,FutureLearn,English,4 weeks,Beginner,4.5
datasciemethodsonpl-ethics,https://www.futurelearn.com/courses/environmental-challenges-property-rights,FutureLearn,English,4 weeks,Beginner,4.5
datasciemethodsonpl-ethics-sc,https://www.futurelearn.com/courses/environmental-challenges-rights-values,FutureLearn,English,4 weeks,Beginner,4.5
data-science,https://www.futurelearn.com/courses/environmental-entrepreneurs-green-business,FutureLearn,English,4 weeks,Beginner,4.5
data-science,https://www.futurelearn.com/courses/environmental-ethics,FutureLearn,English,4 weeks,Beginner,4.5
data-science,https://www.futurelearn.com/courses/environmental-ethics-human-impact,FutureLearn,English,4 weeks,Beginner,4.5
data-science,https://www.futurelearn.com/courses/environmental-ethics-scarcity-conflict,FutureLearn,English,4 weeks,Beginner,4.5
data-science-artificial-intelligence,https://www.futurelearn.com/courses/environmental-impact-assessment,FutureLearn,English,4 weeks,Beginner,4.5
data-science-for-climate-change,https://www.futurelearn.com/courses/environmental-management-bottom-up-approach-policy-implementation,FutureLearn,English,4 weeks,Beginner,4.5
data-science-from-data-to-insight,https://www.futurelearn.com/courses/epargner-et-investir,FutureLearn,English,4 weeks,Beginner,4.5
data-science-fundamentals-microsoft-azure,https://www.futurelearn.com/courses/epilepsy-and-its-neuropsychology,FutureLearn,English,4 weeks,Beginner,4.5
data-science-microsoft-azure-python-programming,https://www.futurelearn.com/courses/epq-success,FutureLearn,English,4 weeks,Beginner,4.5
data-science-projects-and-applications,https://www.futurelearn.com/courses/equity-informal-stem-learning-using-the-equity-compass,FutureLearn,English,4 weeks,Beginner,4.5
data-visualisation,https://www.futurelearn.com/courses/espghan-recommendation-for-enteral-nutrition-in-preterm-infants,FutureLearn,English,4 weeks,Beginner,4.5
data-visualisation,https://www.futurelearn.com/courses/essential-applications-for-agile-scrum-project-management,FutureLearn,English,4 weeks,Beginner,4.5
dead-interesting,https://www.futurelearn.com/courses/essential-elements-od,FutureLearn,English,4 weeks,Beginner,4.5
deakin-university-leadership-professional-practice-graduate-certificate-of-professional-practice,https://www.futurelearn.com/courses/essential-mathematics-for-mla-ai,FutureLearn,English,4 weeks,Beginner,4.5
deakin-university-leadership-professional-practice-master-of-professional-practice,https://www.futurelearn.com/courses/essential-mathematics-for-mla-et,FutureLearn,English,4 weeks,Beginner,4.5
deakin-university-microcredentials,https://www.futurelearn.com/courses/essential-skills-for-your-career-development,FutureLearn,English,4 weeks,Beginner,4.5
decision-making-as-a-leader,https://www.futurelearn.com/courses/essentialmath-for-machine-learning-r,FutureLearn,English,4 weeks,Beginner,4.5
decision-making-how-to-choose-the-right-problem-to-solve,https://www.futurelearn.com/courses/essentialmathfordataanalysisusingexcelonline,FutureLearn,English,4 weeks,Beginner,4.5
decision-making-how-to-choose-the-right-problem-to-solve-sc,https://www.futurelearn.com/courses/essentials-in-arts-fundraising,FutureLearn,English,4 weeks,Beginner,4.5
decoding-forensics,https://www.futurelearn.com/courses/ethical-cities,FutureLearn,English,4 weeks,Beginner,4.5
decolonising-education-from-theory-to-practice,https://www.futurelearn.com/courses/ethical-cities-and-localisation-of-the-sustainable-development-goals-sdgs-,FutureLearn,English,4 weeks,Beginner,4.5
decolonising-society-and-politics,https://www.futurelearn.com/courses/ethical-decision-making-in-care2,FutureLearn,English,4 weeks,Beginner,4.5
deconstructing-research-articles,https://www.futurelearn.com/courses/ethical-hacking-an-introduction,FutureLearn,English,4 weeks,Beginner,4.5
deep-learning-explained,https://www.futurelearn.com/courses/ethical-innovator,FutureLearn,English,4 weeks,Beginner,4.5
deep-learning-for-bioscientists,https://www.futurelearn.com/courses/ethical-leadership-and-decision-making-et,FutureLearn,English,4 weeks,Beginner,4.5
deep-learning-fundamentals,https://www.futurelearn.com/courses/ethical-leadership-and-decision-making-sc,FutureLearn,English,4 weeks,Beginner,4.5
defi-exploring-decentralised-finance-with-blockchain-technologies,https://www.futurelearn.com/courses/ethical-leadership-and-ethical-decision-making,FutureLearn,English,4 weeks,Beginner,4.5
degrees,https://www.futurelearn.com/courses/ethical-research,FutureLearn,English,4 weeks,Beginner,4.5
dementia,https://www.futurelearn.com/courses/ethics-and-diversity-in-fashion,FutureLearn,English,4 weeks,Beginner,4.5
dementia-arts,https://www.futurelearn.com/courses/ethics-and-law-in-data-and-analytics-et,FutureLearn,English,4 weeks,Beginner,4.5
dementia-awareness-training,https://www.futurelearn.com/courses/ethics-and-personhood-in-dementia-care,FutureLearn,English,4 weeks,Beginner,4.5
dementia-inclusive-hospitals-from-a-universal-design-approach,https://www.futurelearn.com/courses/ethicsandlawindataandanalytics,FutureLearn,English,4 weeks,Beginner,4.5
demystify-business-models,https://www.futurelearn.com/courses/ethicsandlawindataandanalytics-sc,FutureLearn,English,4 weeks,Beginner,4.5
de-mystifying-mindfulness,https://www.futurelearn.com/courses/eukaryotic-genome-assembly-how-to-use-blobtoolkit-for-quality-assessment,FutureLearn,English,4 weeks,Beginner,4.5
dental-photography-in-practice,https://www.futurelearn.com/courses/european-empires,FutureLearn,English,4 weeks,Beginner,4.5
depression-young-people,https://www.futurelearn.com/courses/evaluation-for-arts-culture-and-heritage-principles-and-practice,FutureLearn,English,4 weeks,Beginner,4.5
design-board-games-for-socio-political-change,https://www.futurelearn.com/courses/event-management-conferences-basics,FutureLearn,English,4 weeks,Beginner,4.5
designing-a-feminist-chatbot,https://www.futurelearn.com/courses/everyday-chemistry,FutureLearn,English,4 weeks,Beginner,4.5
designing-and-implementing-a-leadership-development-strategy,https://www.futurelearn.com/courses/evidence-and-data-collection-for-problem-solving,FutureLearn,English,4 weeks,Beginner,4.5
designing-and-implementing-data-science-solution-on-azure-et,https://www.futurelearn.com/courses/evidence-and-data-collection-for-problem-solving-sc,FutureLearn,English,4 weeks,Beginner,4.5
designing-and-implementing-data-science-solution-on-azure-et2,https://www.futurelearn.com/courses/ewaste-and-battery-recycling-technology-design-challenges,FutureLearn,English,4 weeks,Beginner,4.5
designing-and-implementing-data-science-solution-on-azure-r,https://www.futurelearn.com/courses/excel-advanced-data-visualization-and-dashboard-creation,FutureLearn,English,4 weeks,Advanced,4.5
designing-human-centred-ai-products-and-services,https://www.futurelearn.com/courses/excel-advanced-data-visualization-and-dashboard-creation-sc,FutureLearn,English,4 weeks,Advanced,4.5
designing-inclusive-communities-for-all-ages,https://www.futurelearn.com/courses/exercise-in-medicine-from-functional-evaluation-to-adapted-exercise-training,FutureLearn,English,4 weeks,Beginner,4.5
designing-play-based-learning,https://www.futurelearn.com/courses/exercise-prescription,FutureLearn,English,4 weeks,Beginner,4.5
designing-walkability-in-cities,https://www.futurelearn.com/courses/experimental-design-for-machine-learning,FutureLearn,English,4 weeks,Beginner,4.5
design-thinking-in-health-and-social-care,https://www.futurelearn.com/courses/expert-educator-health-professions,FutureLearn,English,4 weeks,Beginner,4.5
develop-cultural-intelligence,https://www.futurelearn.com/courses/explore-animation,FutureLearn,English,4 weeks,Beginner,4.5
developingapplicationsusingjavascript,https://www.futurelearn.com/courses/explore-how-farmers-produce-food-sustainably,FutureLearn,English,4 weeks,Beginner,4.5
developing-curiosity,https://www.futurelearn.com/courses/exploring-cancer-medicines,FutureLearn,English,4 weeks,Beginner,4.5
developing-ideas-and-content-for-your-digital-strategy,https://www.futurelearn.com/courses/exploring-gender-equality-education,FutureLearn,English,4 weeks,Beginner,4.5
developing-online-teaching-learning,https://www.futurelearn.com/courses/exploring-hydrogen-fuel-cell-systems-and-balance-of-plant,FutureLearn,English,4 weeks,Beginner,4.5
developing-your-marketing-strategy,https://www.futurelearn.com/courses/exploring-inclusive-pedagogies,FutureLearn,English,4 weeks,Beginner,4.5
developing-your-personal-brand,https://www.futurelearn.com/courses/exploring-instructional-leadership,FutureLearn,English,4 weeks,Beginner,4.5
developmental-psychology,https://www.futurelearn.com/courses/exploring-journalism-and-reporting,FutureLearn,English,4 weeks,Beginner,4.5
developmental-psychology,https://www.futurelearn.com/courses/exploring-journalism-and-reporting-sc,FutureLearn,English,4 weeks,Beginner,4.5
developmental-psychology,https://www.futurelearn.com/courses/exploring-law-studying-law-at-university,FutureLearn,English,4 weeks,Beginner,4.5
developpement-durable-action-humanitaire,https://www.futurelearn.com/courses/exploring-neurodiversity-in-the-workplace,FutureLearn,English,4 weeks,Beginner,4.5
diabetic-eye-disease,https://www.futurelearn.com/courses/exploring-our-ocean,FutureLearn,English,4 weeks,Beginner,4.5
Diagramming for development 2: exploring interrelationships,https://www.futurelearn.com/courses/exploring-stone-age-archaeology-the-mysteries-of-star-carr,FutureLearn,English,4 weeks,Beginner,4.5
Diagramming for development 2: exploring interrelationships,https://www.futurelearn.com/courses/exploring-sustainable-production-systems,FutureLearn,English,4 weeks,Beginner,4.5
"Diagrams, charts and graphs",https://www.futurelearn.com/courses/exploring-teaching-assessments-higher-education,FutureLearn,English,4 weeks,Beginner,4.5
diffusion-and-mass-transfer,https://www.futurelearn.com/courses/exploring-the-landscape-of-antibiotic-resistance-in-microbiomes,FutureLearn,English,4 weeks,Beginner,4.5
Digital skills: succeeding in a digital world,https://www.futurelearn.com/courses/exploring-the-world-of-electric-buses-advancing-zero-emission-public-transport,FutureLearn,English,4 weeks,Beginner,4.5
Digital thinking tools for better decision making,https://www.futurelearn.com/courses/exploring-the-world-of-electric-mobility-key-concepts-and-strategies,FutureLearn,English,4 weeks,Beginner,4.5
digital-cancer-management,https://www.futurelearn.com/courses/exploring-the-world-of-electric-mobility-key-concepts-and-strategies-spanish,FutureLearn,English,4 weeks,Beginner,4.5
digital-clinical-trials,https://www.futurelearn.com/courses/external-conduct-standards-for-charities,FutureLearn,English,4 weeks,Beginner,4.5
digitaldiscovery,https://www.futurelearn.com/courses/extreme-geological-events,FutureLearn,English,4 weeks,Beginner,4.5
digital-fashion-media,https://www.futurelearn.com/courses/facebook-marketing,FutureLearn,English,4 weeks,Beginner,4.5
digital-health-essentials,https://www.futurelearn.com/courses/faces-of-dementia,FutureLearn,English,4 weeks,Beginner,4.5
digital-literacy,https://www.futurelearn.com/courses/fairy-tales,FutureLearn,English,4 weeks,Beginner,4.5
digital-literacy-sustainable-development-in-the-information-age,https://www.futurelearn.com/courses/fall-in-love-with-mandarin,FutureLearn,English,4 weeks,Beginner,4.5
digital-marketing,https://www.futurelearn.com/courses/fam-exercise-gut,FutureLearn,English,4 weeks,Beginner,4.5
digital-marketing,https://www.futurelearn.com/courses/fam-genome,FutureLearn,English,4 weeks,Beginner,4.5
digital-marketing,https://www.futurelearn.com/courses/fam-inflammation,FutureLearn,English,4 weeks,Beginner,4.5
digital-marketing-futurelearn,https://www.futurelearn.com/courses/fam-pregnancy,FutureLearn,English,4 weeks,Beginner,4.5
digital-marketing-new-trends-and-technologies,https://www.futurelearn.com/courses/fam-weight,FutureLearn,English,4 weeks,Beginner,4.5
digital-politics,https://www.futurelearn.com/courses/family-takaful-for-beginners,FutureLearn,English,4 weeks,Beginner,4.5
digital-risk-management-et,https://www.futurelearn.com/courses/fashion-and-sustainability,FutureLearn,English,4 weeks,Beginner,4.5
digital-security-policy-and-management-et,https://www.futurelearn.com/courses/fashion-global-supply-chain,FutureLearn,English,4 weeks,Beginner,4.5
digital-security-policy-and-management-sc,https://www.futurelearn.com/courses/fashion-innovation,FutureLearn,English,4 weeks,Beginner,4.5
digital-security-training,https://www.futurelearn.com/courses/fashion-s-future-and-the-un-sustainable-development-goals-,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills,https://www.futurelearn.com/courses/fashion-technology-a-beginners-guide-to-clo-3d,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-awareness-for-starting-higher-education,https://www.futurelearn.com/courses/fashion-technology-an-advanced-guide-to-clo-3d,FutureLearn,English,4 weeks,Advanced,4.5
digital-skills-digital-marketing,https://www.futurelearn.com/courses/fashion-values-cultures,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-for-work-and-life,https://www.futurelearn.com/courses/fashion-values-economy,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-mobile,https://www.futurelearn.com/courses/fashion-values-nature,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-reimagine-your-career,https://www.futurelearn.com/courses/fashion-values-society,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-social-media,https://www.futurelearn.com/courses/feature-writing,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-user-experience,https://www.futurelearn.com/courses/feature-writing-sc,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-web-analytics,https://www.futurelearn.com/courses/fibre-fermentation-gut-health-sc,FutureLearn,English,4 weeks,Beginner,4.5
digital-skills-workplace,https://www.futurelearn.com/courses/film-distribution,FutureLearn,English,4 weeks,Beginner,4.5
digital-skill-web-analytics,https://www.futurelearn.com/courses/film-education-a-user-s-guide,FutureLearn,English,4 weeks,Beginner,4.5
digital-society,https://www.futurelearn.com/courses/filmmaking-animation-classroom,FutureLearn,English,4 weeks,Beginner,4.5
digital-transformation-e-commerce,https://www.futurelearn.com/courses/finance-for-business-growth,FutureLearn,English,4 weeks,Beginner,4.5
digital-wellbeing,https://www.futurelearn.com/courses/financial-accounting-for-business-management,FutureLearn,English,4 weeks,Beginner,4.5
diploma-of-higher-education,https://www.futurelearn.com/courses/financial-management,FutureLearn,English,4 weeks,Beginner,4.5
disaster-management,https://www.futurelearn.com/courses/financial-management-for-screen,FutureLearn,English,4 weeks,Beginner,4.5
disaster-management-accountability,https://www.futurelearn.com/courses/financial-services-after-the-banking-crisis,FutureLearn,English,4 weeks,Beginner,4.5
disaster-risk-reduction,https://www.futurelearn.com/courses/finding-and-reading-research,FutureLearn,English,4 weeks,Beginner,4.5
discover-dentistry,https://www.futurelearn.com/courses/fitness-for-older-people-sc,FutureLearn,English,4 weeks,Beginner,4.5
Discovering disorder: young people and delinquency,https://www.futurelearn.com/courses/fitness-networking-sc,FutureLearn,English,4 weeks,Beginner,4.5
discovering-korean-music-the-spectrum-of-sound,https://www.futurelearn.com/courses/flexagons,FutureLearn,English,4 weeks,Beginner,4.5
discovering-science-atmospheric-chemistry,https://www.futurelearn.com/courses/food-and-mood,FutureLearn,English,4 weeks,Beginner,4.5
discovering-science-chemical-products,https://www.futurelearn.com/courses/food-and-nutrition,FutureLearn,English,4 weeks,Beginner,4.5
discovering-science-global-challenges,https://www.futurelearn.com/courses/food-as-medicine,FutureLearn,English,4 weeks,Beginner,4.5
discovering-science-medicinal-chemistry,https://www.futurelearn.com/courses/food-for-thought,FutureLearn,English,4 weeks,Beginner,4.5
discovering-science-science-writing,https://www.futurelearn.com/courses/food-for-thought-french,FutureLearn,English,4 weeks,Beginner,4.5
discover-the-hidden-history-of-york,https://www.futurelearn.com/courses/food-for-thought-spanish,FutureLearn,English,4 weeks,Beginner,4.5
discover-your-roots,https://www.futurelearn.com/courses/food-fraud,FutureLearn,English,4 weeks,Beginner,4.5
disease-outbreaks,https://www.futurelearn.com/courses/food-history-and-trends,FutureLearn,English,4 weeks,Beginner,4.5
diseno-del-programa-para-ninos-vinculados-a-fuerzas-y-grupos-armados,https://www.futurelearn.com/courses/food-innovation-focus-on-fermenting-the-future,FutureLearn,English,4 weeks,Beginner,4.5
distribution-networks-and-sustainability-et,https://www.futurelearn.com/courses/food-production-agricultural-technology-plant-biotechnology,FutureLearn,English,4 weeks,Beginner,4.5
diverse-routes-into-higher-education,https://www.futurelearn.com/courses/food-safety-personal-presentation-and-hygiene-in-a-professional-kitchen,FutureLearn,English,8 weeks,Advanced,4.5
diversity-and-inclusion-in-the-built-environment,https://www.futurelearn.com/courses/food-science-and-nutrition,FutureLearn,English,4 weeks,Beginner,4.5
divisional-performance-sc,https://www.futurelearn.com/courses/food-supply-systems,FutureLearn,English,4 weeks,Beginner,4.5
dna-genetics-genomics-importance-in-health-and-cancer,https://www.futurelearn.com/courses/food-technology-health-and-safety,FutureLearn,English,4 weeks,Beginner,4.5
doing-business-in-conflict-zones,https://www.futurelearn.com/courses/football,FutureLearn,English,4 weeks,Beginner,4.5
doing-business-in-web3,https://www.futurelearn.com/courses/football-lcfc,FutureLearn,English,4 weeks,Beginner,4.5
doing-economics-measuring-inequality,https://www.futurelearn.com/courses/forced-marriage-issues-and-dilemmas,FutureLearn,English,4 weeks,Beginner,4.5
doing-good-in-a-conflict-zone,https://www.futurelearn.com/courses/forensic-archaeology-and-anthropology,FutureLearn,English,4 weeks,Beginner,4.5
domestic-violence,https://www.futurelearn.com/courses/forensic-facial-reconstruction,FutureLearn,English,4 weeks,Beginner,4.5
drafting-commercial-contracts,https://www.futurelearn.com/courses/forensic-mental-health-and-criminal-justice-a-comparative-study-of-criminal-law,FutureLearn,English,4 weeks,Beginner,4.5
dream-escape,https://www.futurelearn.com/courses/forensic-psychology,FutureLearn,English,4 weeks,Beginner,4.5
drive-success-with-project-management-essentials,https://www.futurelearn.com/courses/foretagslogistik,FutureLearn,English,4 weeks,Beginner,4.5
drugs-peace-and-development-rethinking-policy,https://www.futurelearn.com/courses/fostering-inclusive-citizen-engagement-in-urban-development,FutureLearn,English,4 weeks,Beginner,4.5
drug-use-and-harm-reduction,https://www.futurelearn.com/courses/foundations-in-system-leadership-collaborating-for-health-and-care,FutureLearn,English,4 weeks,Beginner,4.5
drug-use-and-harm-reduction-french,https://www.futurelearn.com/courses/foundations-of-lca,FutureLearn,English,4 weeks,Beginner,4.5
due-diligence-in-mineral-value-chains,https://www.futurelearn.com/courses/foundations-of-marketing-build-a-modern-marketing-plan,FutureLearn,English,4 weeks,Beginner,4.5
dutch,https://www.futurelearn.com/courses/foundations-of-portuguese-for-global-communication,FutureLearn,English,4 weeks,Beginner,4.5
dying-well-the-role-of-palliative-care-and-sedation-in-end-of-life-care,https://www.futurelearn.com/courses/foundations-of-project-management,FutureLearn,English,4 weeks,Beginner,4.5
dyslexia,https://www.futurelearn.com/courses/foundations-of-project-management-et,FutureLearn,English,4 weeks,Beginner,4.5
dysphagia,https://www.futurelearn.com/courses/foundations-of-science,FutureLearn,English,4 weeks,Beginner,4.5
early-career-teacher-induction-getting-ready-for-the-early-career-framework-england-,https://www.futurelearn.com/courses/foundations-of-software-testing-and-validation,FutureLearn,English,4 weeks,Beginner,4.5
early-career-teachers,https://www.futurelearn.com/courses/foundations-of-writing-jasper,FutureLearn,English,4 weeks,Beginner,4.5
earned-media,https://www.futurelearn.com/courses/fraud-investigation-following-the-money-op,FutureLearn,English,4 weeks,Beginner,4.5
earth-and-life,https://www.futurelearn.com/courses/fraud-investigation-making-a-difference,FutureLearn,English,4 weeks,Beginner,4.5
earth-and-space-physics-teaching-secondary-science,https://www.futurelearn.com/courses/fraud-prevention-in-the-charity-sector,FutureLearn,English,4 weeks,Beginner,4.5
east-asia,https://www.futurelearn.com/courses/freedom-of-movement-refugees-traffickers-and-smugglers-sc,FutureLearn,English,4 weeks,Beginner,4.5
eating-while-enjoying-life,https://www.futurelearn.com/courses/friend-to-leader,FutureLearn,English,4 weeks,Beginner,4.5
e-bug-health-educator-training,https://www.futurelearn.com/courses/frisian,FutureLearn,English,4 weeks,Beginner,4.5
ecg-assessment,https://www.futurelearn.com/courses/from-waste-to-value,FutureLearn,English,4 weeks,Beginner,4.5
ecology-and-wildlife-conservation,https://www.futurelearn.com/courses/from-waste-to-value-spanish,FutureLearn,English,4 weeks,Beginner,4.5
ECON101: Principles of Microeconomics,https://www.futurelearn.com/courses/frontier-physics-future-technologies,FutureLearn,English,4 weeks,Beginner,4.5
ECON102: Principles of Macroeconomics,https://www.futurelearn.com/courses/fun-in-korea,FutureLearn,English,4 weeks,Beginner,4.5
ECON103: Principles of Austrian Economics I,https://www.futurelearn.com/courses/functional-neurological-disorder-a-healthcare-professionals-guide,FutureLearn,English,8 weeks,Advanced,4.5
ECON104: Principles of Austrian Economics II,https://www.futurelearn.com/courses/functional-programming-haskell,FutureLearn,English,4 weeks,Beginner,4.5
ECON105:Hard Questions onHard Money,https://www.futurelearn.com/courses/fundamental-skills-in-engineering-design,FutureLearn,English,4 weeks,Beginner,4.5
ECON120: Monetary History,https://www.futurelearn.com/courses/fundamentals-international-business,FutureLearn,English,4 weeks,Beginner,4.5
ECON135: What Is Money?,https://www.futurelearn.com/courses/fundamentals-of-business-strategy,FutureLearn,English,4 weeks,Beginner,4.5
economics,https://www.futurelearn.com/courses/fundamentals-of-corporate-finance,FutureLearn,English,4 weeks,Beginner,4.5
economics,https://www.futurelearn.com/courses/fundamentals-of-digital-transformation-and-data-analytics,FutureLearn,English,4 weeks,Beginner,4.5
economics,https://www.futurelearn.com/courses/fundamentals-of-economics,FutureLearn,English,4 weeks,Beginner,4.5
economics-of-copyright-sp,https://www.futurelearn.com/courses/fundamentals-of-leadership-theory,FutureLearn,English,4 weeks,Beginner,4.5
ecopedagogy-for-beginners-putting-climate-change-education-into-action,https://www.futurelearn.com/courses/fundamentals-of-naturopathic-medicine,FutureLearn,English,4 weeks,Beginner,4.5
educating-for-sustainable-development-in-schools-and-universities,https://www.futurelearn.com/courses/fundamentals-of-shariah,FutureLearn,English,4 weeks,Beginner,4.5
educational-leadership,https://www.futurelearn.com/courses/fundamentalsofenterprisesecurity,FutureLearn,English,4 weeks,Beginner,4.5
educational-leadership,https://www.futurelearn.com/courses/fundraising-for-non-fundraisers,FutureLearn,English,4 weeks,Beginner,4.5
educational-leadership-improving-schools-effective-leadership,https://www.futurelearn.com/courses/fungal-diagnostics,FutureLearn,English,4 weeks,Beginner,4.5
educational-leadership-working-for-good,https://www.futurelearn.com/courses/further-explorations-of-flexagons,FutureLearn,English,4 weeks,Beginner,4.5
educational-neuroscience,https://www.futurelearn.com/courses/future-of-food-building-sustainable-food-supply-systems,FutureLearn,English,4 weeks,Beginner,4.5
educational-neuroscience,https://www.futurelearn.com/courses/future-of-life,FutureLearn,English,4 weeks,Beginner,4.5
education-for-all,https://www.futurelearn.com/courses/gamefi-in-the-web3-world,FutureLearn,English,4 weeks,Beginner,4.5
eduweight,https://www.futurelearn.com/courses/gaming-big-data,FutureLearn,English,4 weeks,Beginner,4.5
edward-jenner-programme-course-0-an-introduction-to-personal-development,https://www.futurelearn.com/courses/gardening-for-beginners-how-to-grow-plants-and-nurture-them-part-one-,FutureLearn,English,4 weeks,Beginner,4.5
Effective communication in the workplace,https://www.futurelearn.com/courses/gardening-for-beginners-how-to-grow-plants-and-nurture-them-part-two-,FutureLearn,English,4 weeks,Beginner,4.5
effective-communication-skills-for-engineers,https://www.futurelearn.com/courses/gender-and-development,FutureLearn,English,4 weeks,Beginner,4.5
effective-communication-skills-for-professionals,https://www.futurelearn.com/courses/gender-and-the-media,FutureLearn,English,4 weeks,Beginner,4.5
effective-leadership-in-health-services,https://www.futurelearn.com/courses/gender-based-violence-responding-to-intimate-partner-violence-and-abuse,FutureLearn,English,4 weeks,Beginner,4.5
effective-livestock-production,https://www.futurelearn.com/courses/gender-equality-diversity-in-forestry-related-sectors,FutureLearn,English,4 weeks,Beginner,4.5
effective-management-of-healthcare-systems-and-patient-safety,https://www.futurelearn.com/courses/gender-inclusive-technology,FutureLearn,English,4 weeks,Beginner,4.5
effective-nursing-in-times-of-crisis,https://www.futurelearn.com/courses/genealogy,FutureLearn,English,4 weeks,Beginner,4.5
effective-questioning,https://www.futurelearn.com/courses/general-data-protection-regulation,FutureLearn,English,4 weeks,Beginner,4.5
Elective Home Education Hub,https://www.futurelearn.com/courses/general-introduction-to-metal-additive-manufacturing,FutureLearn,English,4 weeks,Beginner,4.5
Elective Home Education Hub,https://www.futurelearn.com/courses/general-jurisprudence,FutureLearn,English,4 weeks,Beginner,4.5
electrical-engineering,https://www.futurelearn.com/courses/general-paediatrics-essentials-for-new-doctors,FutureLearn,English,4 weeks,Beginner,4.5
electrical-industry-production-and-economics,https://www.futurelearn.com/courses/generative-ai-and-llms-on-aws,FutureLearn,English,4 weeks,Beginner,4.5
electric-two-and-three-wheelers-steering-the-mobility-revolution,https://www.futurelearn.com/courses/generative-ai-implications-and-opportunities-for-business,FutureLearn,English,4 weeks,Beginner,4.5
electrification-of-urban-mobility,https://www.futurelearn.com/courses/generative-ai-in-higher-education,FutureLearn,English,4 weeks,Beginner,4.5
eliminating-trachoma,https://www.futurelearn.com/courses/genes-and-health-how-dna-influences-disease,FutureLearn,English,4 weeks,Beginner,4.5
